Question,Answer
"I guess the question for you is, what is causing structurally the spending problem?","A lot of people have said that this is the late-stage empire, the failure of democracy because everyone votes themselves all the money eventually, or is it a politically-oriented problem where folks don't want to address the biggest line items, they don't want to hold programs to account, and what is the answer here"
Is it $1 trillion today?,It's going to be $1 trillion five
Where do you cut?,Let's start by getting into those specifics
Do you cut entitlements?,Do you military
"Where do you cut, and how do you cut?",So here's what I would do
What do you cut there?,"Yeah, so quickly on healthcare, look guys, I represent United Health Group in my district"
What about military team?,What would you do
Would you zero base budget?,Absolutely
"And lastly, can I say one more thing quick on that, Chimoth?","If the only way that I think we can address the biggest issue in the country, which is the growing disparity between those who have wealth and income and those that do not, we're not a nation that will redistribute"
Where are you and what's your philosophy on the state of the education?,I would say I'm in the middle because I think there's some worthiness to both of those perspectives
What would I do?,"I would fundamentally reinvent American public education with the best and the brightest, with students, with teachers, with families, with the nonprofit sector and the business sector, because right now business needs to participate in 21st century education to advise the teachers and the administrators and the curricula designers what skills they need"
"Why do you think that there are certain places, progressive, liberal bastions, if you will, that have been the first to dismantle things like STEM and AP classes?",Why is that happening
"When Teach for America teachers outperform teachers who have tenure or been at it for 10, 20, 30 years, does that not say the quality matters?","It's not the school, how it looks, but anyway, I would reinvent and the other thing is this, you and I'm sure like you guys, I remember a couple teachers that made a huge difference in my life, and they're about 50, I could barely remember at all"
Is it too early to regulate AI?,Or is it
Isn't that cool?,You would never know his name because he's not on Fox Remus and BC Screaming at Night
"I got a run, but can I tell one quick story to wrap my whole story up and about what I want to try to do?","At the end of the day, none of this occurs"
"So I just want to thank you guys and last thing and just, just yes or no, can everybody expect that you will be on the ballot in every state?","I can't say I'm going to be in the ballot in every state, Chamath, because I don't think it's possible between time and money"
"What's your thoughts, Jamath?",You set up this interview
Where does he stand in your likely votes for president in 2024?,Where would you rank him now
"Andrew Yang texted me like last week and said, would you guys do this?","And I was really interested because mostly I didn't know where he was coming from, to be totally honest"
"Sacks, what's your candid thoughts on it?","Obviously, he's not part of your political party, but what do you think his chances are versus Biden and how would you assess his performance here today"
Really?,"Wow, great"
"And if you were to have a choice of him or Biden, you'd pick him?",Yeah
"If you had a choice of him or Vivek on the other side, would you pick?",No comment
"What do you think will happen post this, Chumah?",Vivek got a big bump
What do you think is going to happen post this?,I think that Dean Phillips is going to pull really well
"And just a programming note, Jake, how are you drinking a chocolate milk?",I'm drinking a Core Power 26
"Does this same antibody kind of system exist on the right at all, or is the right more open to multiple candidates just generally speaking?","No, I mean, you look at Republican debates and they are vigorous debates"
Is that why the Democratic Party wins more?,Is because they're in lockstep
Did you guys hear the commentary that the Treasury auction had a really tough moment last week?,"They had a big auction on, what was it, 10 and 30-year bonds"
Do you take him out his word?,"There were cynical people saying like, hey, he's just desperate, needs more trade, needs more business"
How do you interpret Xi's peace pipe here and his dinner with a bunch of executives last night?,I think he's pragmatic
"Sax, what was your interpretation?",There's so many jumping off points here
"I mean, there's a long list of issues, but does it feel like we're turning the corner on relations?","Hey, they need us"
What was your interpretation on all this?,"Well, I think what's going on here is that the administration has its hands full with two wars"
What are your thoughts on foreign trade and our business relationship with China and their relationship with the West and the rest of the world?,This used to be a thing to do to make money and then it became a question mark of whether you can make money a couple years ago
"But I don't know, I mentioned this to you guys, I was at a conference this past summer, the summer of 22, it was like, Hey, maybe, you know, when are things going to get bad with China?","To this summer, it's like, if you were doing business in China, you're trying to pick up pennies in front of a freight train, like you're going to get run over"
"Yeah, what's happening here?",It's all just a big coincidence
"But I look, I mean, I don't know, what are you guys quasi owning it?","Right, sacks"
Quasi?,"No, I don't think he did own it"
"Tramoth, any reaction to that?",He's auditioning
Can he perform?,And I think he did a good job there
Can I say it though?,I think he did look presidential in China
"But wait, he said that?","No, no, no"
Anybody have some tea leaves?,I still think there's about a 70% chance that Biden runs
"Okay, Chamath, what do you think?",I'm curious
"Freiberg, you got to take?",I don't know
Where does that money go?,Any thoughts on where that's going
So what's the next word in a sentence?,So these are a graph neural network is a fairly complicated model
"Whereas currently, it could run on what, like a smartphone or a laptop?","It's not that small, but yeah, I mean, you could run it on a small compute and you could get the results in a minute"
Is this is the gap between the black and the blue line significant?,Is that an important
"And the second thing that they measured, if you pull up the second graph, was, well, okay, great, you can measure, you can do basic weather forecasting, but are you good at picking up extreme events?","The things that are really outside of the normal distribution curve, the things that we should worry about, like cyclones or extreme heat or atmospheric rivers"
"doesn't actually predict cyclone tracking and that graphcast gives you like two, three, four days lead time?",That's just an error difference
So what's the downstream effectiveness?,People will be able to get out of an area that could have extreme weather or insurance
"com, right?",So you've been in this business for a long time
"I mean, are they going to just throw away those clusters running other models now?","Dude, I'm telling you, like that's redundant"
"So if I'm running the Department of Commerce, which oversees NOAA in the US, I'm like, what are we doing spending a billion dollars a year on this now?",We can just run this thing on a MacBook
What?,You're about to be
What?,You're about to be
What?,Be
