Topic,Sub-topic,Speaker,Question,Answer
Candidate Questioning,Immigration,Candidate Vivek Ramaswamy,"How would you look at immigration? Obviously, we have people coming in the southern border illegally and then we have h1b visas and now canada is saying Hey, we'll steal all those h1b's we'll take them. Merit based immigration I mean one of the things that canada does have and i'm not a fan of america imitating canada or anything like this in most respects But they do have a point based system, right?","They have a point based system and so I think the point based system should work differently in the u.s. But I do favor merit based immigration I'm a little bit of a departure from what I think is the republican consensus here You know people I respect tom cotton and others have proposed bills with a hard cap on the number of immigrants I get some mistake I think that the cap should declare itself based on how many people meet the meritocratic criteria Or i'm a little different qualities then for what would be your top criteria in this point based system two criteria Skills that match up to job openings in the united states But secondarily and this one's important to me I would move the civics portion of becoming a citizen To the front end of even being granted a visa to enter this country And I think that addresses and accommodates An important part of the concern that many people who are pro immigration cap actually favor Is I think there are legitimate concerns about the dilution the loss of a national identity But a lot of that is conflated with first the cycle of illegal immigration. I'm a hardliner on this I favor putting the u.s. Military on the southern border. I've said I would use it on the northern border I believe that we are on strong constitutional and legal authority to do it I do not think building the wall was enough. There are cartel financed tunnels underneath that wall that vehicles literally run through today So in some ways i'm going further than trump in this direction But simultaneously Debu democratize speed up the process for merit based immigration, but part of merit includes not just skills But also civic commitments to the country And i'm you know, I use the word nationalist before I know that scares some people. I mean it in a positive way I think every high school student in this country should have to pass the same civics test that an immigrant has to pass In order to become a citizen of this country I also would favor bringing that on the front end and it selects for the kind of people who know something about the country when they enter Which I think is a good thing. It's a lot of people should assimilate And they should love this country in order to come into the country Yes, I do. I think I think you should want to come here to be an american."
Candidate Questioning,President Biden,Candidate Vivek Ramaswamy,"Yeah I think I think I need to get agreement around the horn here Sacks you've heard uh, the vex position so far you obviously are passionate about the g.o.p What do you agree with and what don't you agree with so far? Well, there's a lot of stuff to agree with there We're talking about american exceptionalism one thing I want to talk about there is that I agree that america is Exceptional and we're most exceptional when we're trying to set an example for other nations when we're trying to be the shining city on a hill as reagan put it But lately and really I mean over the last couple of decades What you've seen is that what american exceptionalism means to a lot of people in washington Is that we run all over the world and impose our ideology and our values on all these different countries We began this great crusade to try and spread democracy in the middle east. We tried to turn countries like afghanistan and iraq Into madisonian democracies where you now are very very involved in ukraine basically trying to Detach that country from the russian sphere of influence and turning it into a member of our military and economic alliance So it does seem like american exceptionalism has taken on this sort of harder more Militarized edge. I mean like what makes sense to you?"," I think I basically agree with everything you just said. I think as a side note on the geopolitics of it I do think ukraine is on track to become potentially the next vietnam or the next iraq. I think you have said similar things I also think there's something else going on with ukraine that's fueling this which relates to the deeper identity crisis in our country that i described earlier I think ukraine has become a new religion right in the in the country And it's substitute for purpose and meaning just like climate ideology or woke isms and you know, there's the flag I mean you have people like waving thes"
Candidate Questioning,Ukraine NATO History,Candidate Vivek Ramaswamy,I mean like what makes sense to you?,"Absolutely. Yeah, you go to washington dc. At least I did in june. I was there for one of the sunday shows My wife and I are going for a walk We saw more trans flags and ukraine flags than we did american flags on a short walk that we took through washington dc or nations capital, so i'm not i'm not Wining about this or being histrionic about it. I just think getting to the essence of what's going on I think that's a different element of ukraine that's different from even what we saw would be an america rock I don't think american exceptionalism is foisting our values on anyone I think american exceptionalism is about Demonstrating through our example how america flourishes and is strong when we live by our own ideals And I think the best way we give hope to the free world is by being that shining city on a hill Not going somewhere else and talking about it with tanks behind us while actually suffering here at home if you Rome the streets of kensington as I did a few weeks ago You know you don't have to go to you don't have to go to bagdad to see the third world and so That I think is I think a big loss of where we are today in the country When you're president putin invades ukraine you would sit back not give any armaments and let them roll in Here's what I would do. I would actually be proactive in doing a deal and I've been very clear about the deal I would do Trump has said he would do a deal in 24 hours. He didn't said what it was I I believe there's a deal to be done But I also believe it's important to be clear about what the contours of that deal would be I would Freeze the current line. Let's take the status quo right now So I can answer your question or I can answer starting from the present if you don't We could do both. I mean the obvious The obvious is maybe put nato take nato off the table and avoid the whole thing but now we're playing Yeah, we're playing out turn history. So maybe it's better What's happening now present right because I don't think that we would have if I was president I don't think we would have gotten to the point of those things rolling in uncle and mirkel made some disastrous comments Putin made a hard demand We would have said hard no to ukraine joining nato and that would have been that there would have been no tanks rolling And putin may have said like we took nato off the table putin may have still invaded. We don't know I don't I don't think so, but we can't you know, those are counterfactuals that we can you know We're not going to have one side or the other being able to to prove that right "
Candidate Questioning,Present Day Ukraine,Candidate Vivek Ramaswamy,So let's talk about the present ,"Right now let's say I'm us president I would freeze the current lines of control. We have a precedent for doing this the korean war korean war style armistice That does give putin most of the donbas region That's beyond the Pale of what many are willing to accept in either party, but I think any deal someone has to win Everyone has to win something out of the deal. I would further then give that assurance that nato will not admit ukraine to nato But there's a requirement in return the biggest requirement is that russia has to exit its military partnership with china There's a 2001 treaty. It's called the treaty of good neighbor linus and cooperation military cooperation between the two countries that shijin ping and putin ratcheted it up to the so-called strategic no limits partnership in 2022 that is why china is now coming by the way To russia's aid. I personally believe we are absolutely sending Putin into shijin ping's arms in a way. That's a mistake I would also require that putin remove his nuclear weapons from kalinengrad That we take any russian military presence in the us in the western hemisphere off the table venezuela cuba nikaragua I think this is a deal that putin would do if we paired it with reopening economic relations with russia, which I would do Because I think putin does not and I could give you some evidence for this But I think putin does not enjoy being shijin ping's little brother And so I think that this is actually an opportunity and I have to confess I am a guy who Sees our foreign policy prism through the prism of believing that china is the top Long-run threat that we face and so most of my foreign policy views and national security views even on Topics that are apparently unrelated to china. I still see it through that prism But this one isn't a far leap because china is literally in a military treaty with russia and coming to their aid I would use the ukraine war and an end to the ukraine war as a way to bifurcate the russia-china relationship and divide Basically dissolve that relationship And then actually that's our best way and most effective step towards deterring shijin ping From going after taiwan Because right now shijin ping You know, I think that there's a mistaken consensus view that the way he thinks about it is oh Reason by analogy rather than by actual analyzing of a situation say oh well he got that piece of land Maybe I can go get this island. I don't think he reasons by analogy. I think he reasons by The cards he has in terms of hard power so his bet is that The us won't want to go to war with two different allied nuclear superpowers at the same time But if russia is no longer in his camp Then shijin ping is going to have to think twice about going after taiwan. So then I guess it's part of my broader taiwan "
Candidate Questioning,International Relations,Candidate Vivek Ramaswamy,The following question there is you wouldn't defend ukraine Would you have america and the allies defend taiwan if it was invaded?,I would at least until the u.s. has achieved semiconductor independence 
Candidate Questioning,Taiwan,Candidate Vivek Ramaswamy,So you wouldn't defend taiwan?,"I was thinking yeah because we depend on them for our modern way of life in a way that we don't on ukraine And and then the latter part of this is it sounds a little crass to some people, but I believe in being honest I actually think that Yeah, I'll get to the I'll get to this point in a second but to answer your question Yes, until we've achieved semiconductor independence god, I believe we can achieve semiconductor independence. Yeah, so it's not Your belief is not hey. These are two democracies. They both deserve equal defense from the united states ukraine and taiwan It's ukraine doesn't have semiconductors. We don't have a strategic need to defend them in taiwan So it's a lot more of a pragmatic cutthroat approach to foreign policy It is I I um, of course, um, you know resist the characterization of cutthroat a little bit I go back to the principle that david mentioned of what american exceptionalism Is to me is that when america is strong and is flourishing and americans are flourishing within america We set the example for the free world of what is possible And so my view is that yes at least until until we're semiconductor self-sufficient And I think things work out here where I think we can get there So in five years where we've got our semiconductors up and running You'll let china roll into taiwan no big deal for you I will say that I definitely evaluate that Very differently that I do a lot of different kind of uh, sax your but I but I your thoughts on that is important free burn Yeah, let me just ask so vivek. I mean I think that your point is is a really important one which is that when we're happy at home We tend not to look for conflict abroad That's almost a universal Truth that's emerged from history human civilization Has shown that you know when the people in a democracy in particular are happy at home and certainly autocracies are quite different alexander the great and julia seizer augustus either you go through history But like when you have a true democracy you don't vote to go and you don't support the idea Of conflict abroad if you're happy at home But the counter is true which is when you're unhappy at home you tend to look for conflict abroad And by some assessments ray dollio had this great book about this The changing world order. I don't know if you if you read it But you know he makes this point about the internal strife leads to external conflict Which is why it felt like we were going to go that way with ukraine russia coming out of 21 "
Candidate Questioning,National Mood,Candidate Vivek Ramaswamy,So I wonder are we happy at home?,We're not and I want to ask it. I want to ask another question tied to this.
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,Why is donald trump leading in the polls?,"Because I think that the two go hand in hand There is something that he represents and there's something about his voice That I think echoes the sentiment Of this populist unhappiness inside of this country today That manifests in a bunch of ways one of which is The interest in and support for external conflict But I don't know if you're up for kind of thinking about tackling the two questions together But I love your your take on that great question. I think you're Absolutely, right. I mean you're extending a theme of where I talk about sort of domestic cultural annoyances As a symptom of a deeper vacuum in our national soul I think that actually our projection And focus abroad is a lot easier of a deflection away from the harder step of taking A long hard look in the mirror and asking ourselves about the health Of our own nation today. And so I think that's a deep question I think we're not healthy as a nation today. I think we suffer from deep-seated psychic insecurities psychological insecurities I think the economic stagnation the fact that real wage growth isn't up for the bottom 99 of the country Now a lot of that I put at the feet of the federal reserve There are a lot of other complex factors behind it, but a lot of this feeds into What you call populism I don't Excuse me, I don't I don't like this. I mean by the way just to be clear. I think that it's just imprecise It's a rapper that tries to catch too many things and it doesn't catch any of them enough."
Candidate Questioning,Populism,Candidate Vivek Ramaswamy,"So yeah Yeah, you think what you're calling populism is actually a failure of our elites Isn't that what's going on?","We saw during covet that all the health authorities did a horrible job the cdc And the n i h it turns out they were funding a function research which may have caused govitt In the first place they were doing experiments on bat viruses almost certainly did cause. Yeah, exactly. So You know, we keep finding out that the elites are supposed to be running in the country and running these institutions are doing Absolutely horrible job. That's what the reaction is against then people come along and label up populism and say it's going to lead to fascism It's like come on that is a way of protecting the people in power from accountability for the horrible job. They're doing It's a well said absolutely and the use of the word populism is Almost stacking that debate in favor of saying that those grievances aren't legitimate "
Candidate Questioning,Donald Trump,Candidate Vivek Ramaswamy,And so I think why is donald trump Pulling at number one in the polls?," because people know the truth. I mean The divorce is one of these things that speaks itself into existence Maybe applies at the same at the level of a nation, right? I mean The divorce is one of these things that speaks itself into existence Maybe applies at the same at the level of a nation, right? That's on the table. It's in the it's in the ether I don't think most people including in our hardcore america first base. I'm part of that base I don't think want a national divorce And so I think that the moment now calls for this why I'm in this race. This is actually why At this point I couldn't have told you this in march, but at this point I'm convinced we're actually going to be successful in this This is what the unique fusion we're going to require is not somebody showing up saying hope kumbaya Let's move forward compromise hold hands and declare its morning again in america. No that ain't gonna work But I think it requires recognizing the legitimacy of those grievances not as lip service. I believe For the same reason sax just mentioned Many of those grievances are legitimate. They're grounded in truth, but to say As I often say to the left Hardship is not the same thing as victimhood and we're not going to choose victimhood We're going to choose recognition of truth as our best path To heal over whatever's happened and then to move forward That's why I've come out and been very vocal about the fact that I would pardon trump Of each of the two indictments that have already been brought and if the j6 indictment is brought against him I would do the same thing I think that we have to be able to recognize the truth of our past grievances of our fellow americans and actually Not just pay lip service to it but feel into it and acknowledge the reality of them I think that's then the table stakes of then meeting A demand that many in our grassroots conservative base have I'm one of them a desire to also move forward as one nation And I think both of those elements are going to be required. They don't go together I think there are people in the republican primary who offer Each of those on their own. Yeah I think whoever's successful can have to offer both this morning. There was a An opinion piece."
