Question,Answer
And why do you sell it when it's working?,"I guess maybe it's a question. You know, I'll tell you, well, this is not a story I've shared with many. They were very disingenuous. And it deeply troubles me to this day. The way that my father was treated, the promises that were made simply to get a deal done and then not kept, I think is a reflection on principle. And I'll leave it at that. A lesson learned. In fact, rather than going through a competitive process, which I think any enterprise would do to maximize value of a brand, our family ethos was a little different. And I think we bit and in hindsight, it was a mistake. But I'll leave it at that. You learn less. You learn lessons every experience to this very day. I'm learning them every day on the campaign trail, too. That was one I would never make again. All right. Well, you got the two Davids votes with the vodka. You got mine with the gelato. And if you launch a luxury fabric brand or sweaters, I think you're going to get some up. First, I got some other work to do for eight years. So we'll do that afterwards. I'll just wrap this long story up. So we introduced, you know, Tlenti obviously does well. We sold it to Unilever. Then I opened a couple of coffee shops with my family in Minneapolis. I think it just would be kind of a fun folly. And then we're watching the 2016 election at home. I thought I'd wake up the next morning. We had Hillary Clinton as president. Not that that was thrilling to the world, but it would have been safe. And lo and behold, you know, it happened. And I remember telling my family that night, like, look, give the guy a chance. He's not going to act like that in the White House. The presidency changes you. It humbles you. It moderates you. And my family thought I was a joke. And I woke up the next morning. My 16-year-old was in her room crying. My 18-year-old was a freshman at college. We FaceTimed her, and she's crying. And I sat at the breakfast table, guys, and I promised my daughters I would do something. I raised them to be participants, not observers. And I looked around at my district. I thought maybe I'll run for Congress. I looked around, and the district had not been won by a Democrat since the 1958 election. This is now we're looking at the 2018 election, 60 years. And the man who had won won his fourth term by 14 points. And people told me, that's crazy. You know, you're out of your mind. You're giving up a good life to run for misery, and you'll never make it, and you'll embarrass yourself. Which is why I did it. And not only did we win, we won by 12 points. We had fun. We used invitation, not confrontation. And I drove that little van all around the district to the most unhospitable parts. I opened the service window. I served coffee. And I sat, I put two chairs out, and people would just come up and talk. And I found magic in just letting people share what's on their mind. They're so unheard. Anyhow, I get to, well, I can tell you now, I want to tell you why I'm doing it. But that's the story of where I came from, and why I'm doing this, and look at the end of the day. I'm the one of those that got lucky. You know, there's a lot of kids who lost their dads in Vietnam who did not have the magical moment that I had to be adopted by an amazing father. And that was the difference for me. It's my job to make sure others get that same chance. Simple as that. Before we jump into the future about why you're running and what you see for the country, talk about the years that you spent in Congress."
And what do you think is working and what isn't working?,"I wish we had three hours. I get there, Chamath, I get there the first week of 2019. And like all of you that come from organizational enterprise experience, I assume that Nancy Pelosi and Kevin McCarthy would have a strategy to introduce the new members of Congress, both Democrats and Republicans, you know, get to know each other, do a ropes course, you know, and build some trust or something. And my goodness, it was just the opposite, guys. We were put on separate buses, going to different events. And I realized right away that they had a systemic segregation strategy on day one. And I'm sincerely, the two parties, this is what I've learned. We talk more about this. The only people that want to protect the status quo of the duopoly and the political industrial complex that just surrounds it all are the two parties. And it is destructive, and I will get into that. But I recognize right away, all of my colleagues, that the leadership in both Democratic and Republican side, they wanted to keep us separate. They did not want to give us education and information. And they wanted to keep us so busy that we could not become threats to their power structure. You can imagine, members of Congress tend to be pretty ambitious people, and ultimately they were smart to do that because they made members of Congress, they do this day, raise money all week long. 10,000 hours per week is what senators and House members spend raising money. I've got a bill, actually, that would preclude it from 8 a.m. to 5 p.m. because it's such an unmitigated joke and disaster. The fact that in the United States that a PAC representing a special interest or corporation can hand a $5,000 check to a member of Congress at a steakhouse on Wednesday evening, and then that member serves on a committee in which that business or special interest has business in front of the next day is the most unbelievable form of legal corruption you could possibly imagine. So that's one. Needless to say, I resolved right after that first week of orientation that I would do it differently. I befriended my Republican colleagues. My wife, Annalisa and I started having bipartisan dinners at our house. I joined the Problem Solvers Caucus. I hope you guys know about it. It's the most important small caucus in Congress. We're now 32 Democrats and 32 Republicans committed to doing what we're supposed to do, get to know each other, talk policy, and try to make a difference. Now we're the workhorses, not the showhorses, so you don't know most of our names, including me. But we were the ones invited to the White House in like week three of our service. I was one of four Democrats, there were four Republicans that President Trump invited to the Situation Room to make a proposition to get us through the shutdown, which I can talk about that bizarre hour of my life as well. And that's how I resolved to do it. Now I'm ranked, depending on the survey, number one, number two, number 10, most bipartisan members of the entire U.S. Congress and including governors. And I vote relatively progressive. It's not about just the votes. It's about the ethos. It's about Republican-sponsored bills that come from me. It's about me sponsoring Republican-led bills. And that's what makes me a little bit different than I think just about every member of Congress, not to mention I think I'm the only one that's willing to torpedo a career so that the country isn't torpedoed by this nonsense and dysfunction. There's a lot more to talk about, but it all starts with a systematic segregation and a focus on fighting each other instead of fighting for each other. I can talk about it all day long. Let's start there, Dean."
What?,Give us the assessment of what's happening in the White House right now.
"Before we talk about your candidacy, just like, what's going on?","Well, let me just say I respect President Biden. He's a man I've had in my house for an event. He's a man with whom I've flown on Air Force One twice. He did a beautiful video for my daughter. He called my mother. I think he did a fine job. I think he was the only man that could have defeated Donald Trump in 2020. And I have to say, I think it's fair to say too, he's probably the only Democrat who could and will lose to Donald Trump in 2024. He's a human being. He's now in his 80s. He is clearly on the decline. He's not incompetent. I believe he's surrounded himself by competent, able, principled people. And I believe the White House is running as a team, as most do."
But do I think that he will be in a position to continue leading this country in the future?,"I do not. I think I'm joined by about 75% of the country in saying that. I also believe the policies that we passed, for the most part, are investments for the future. In infrastructure, the CHIPS Act, I think is a very important bill, which by the way has national security implications, as you guys know. The Inflation Reduction Act, a bizarre name for a bill that's really an energy and climate bill, I think is pretty good legislation. And I think he reconstituted our allies around the world that had been frayed to a point of great danger during the Trump administration. So I salute the past. But this is really an election about the future. It's about a generational change. It's about creating, you know, really a new American century that will be powered by systems, structures, people, technologies, that I'm just afraid that President Biden and former President Trump can't even comprehend, let alone create thoughtful policy to both nurture and also manage. And I think that's where we're at. And I want to, I think we have wars overseas that I think in no small part are caused by a generation that is so focused on techniques and tools of the past that they can't even dare look to building peace for the future. That's why I think why we have the Middle East still going. That's why Ukraine, you know, the vice president has some ownership in some of these issues that I'm afraid have to be exposed and they're the truth. And I'm happy to talk about them. But most of all, I'll wrap it with this. Affordability in the United States of America is absolutely the most challenging issue facing Americans. They don't believe that their government is listening. They don't believe the president understands. They don't believe Congress is able to do anything about it because we're so dysfunctional. And that's another mission that I'm on right now. To end this nonsense, I am going to build a team of rivals. I will have a White House and a cabinet comprised of both Democrats and Republicans, the most able leaders imaginable, who have run multi-billion dollar organizations in some cases, understand customer service, will employ zero-based budgeting to the extent we can. We will employ a world-class consulting firm to look at every single government program, system, structure, and personnel to identify ways to save money. These are things that this president, and frankly no president, who doesn't have business experience, nonprofit leadership experience, and government experience could possibly imagine because they're so stuck in their siloed ways of thinking he's been there for 50 years. And it's time for change. I was three years old when he became a senator. So let's get specific on the issues and go into foreign policy, which is David Saxe's, I think number one issue of this election. Of course."
What do you personally think and what do Democrats think?,"I don't want to impress upon anybody or give you the sense that I think he has a form of dementia or Alzheimer's or significant cognitive decline. But anybody who pays attention can see the change. And I'm not, you know, people are saying that I'm causing his problems. I could risk his, you know, reelection. You know, I'm not the guy that has him losing to Trump nationally down in five of six battleground states, the lowest approval ratings in presidential history, almost. And I'm certainly not the guy that has shown his, you know, his decline. That's on video. That's on audio. You see it. It's natural. He's a human being for goodness sakes. All I'm doing, you guys, is saying the quiet part out loud. The only one."
"The question is, is anybody not talking about this?","Of course they are, you guys. You've really created an opportunity for you because like you said, everyone's talking about this, but no one's willing to say it. Of course."
What do you think?,"I'm not being thrown flowers and parties. Let me tell you that. Guys, I'll tell you. I think most would consider me an affable, friendly, well-liked member of Congress. I know that. That's my ethos. My friends are still my friends. I think they're disappointed because this is not what you do when you're a member of a party. You fall in line. You shush up. You sit down. You get in line. You do nothing to upset the apple cart of others who've been waiting in line perhaps a little longer than you. You can imagine the pushback has been strong, the arrow's sharp, and the pain quite significant, but nothing compared to the pain that Americans are feeling right now. That's why I'm doing this. I should also let you know, I had no intention of doing this. A year ago, I was on a radio show and a host asked me if I thought the president should run again. I said, of course not. He implicitly, if not explicitly, said he would be a transitional president, kind of the bridge. Most members of Congress thought he was going to stand down. That's why Newsom and Pritzker and Whitmer and so many others were kind of making their plans. I said, and if he doesn't pass the torch, then we should ensure at least that the stage has newer generation candidates to give voters a choice. Anyway, months went by. I started seeing the polls change dramatically. The tenor and tone of constituent discussions with me and every single one of my colleagues was changing graphically. All the independents, moderate Republicans that voted for the president, I think for the right reasons, were increasingly telling us that they're not going to do it again. They may not vote for Trump, but they're not going to vote rather than vote for Biden. Over time, it kept to a point, actually, guys, where I resigned from the House leadership table because my position was so incongruent with those who were in positions to do something about it that I didn't feel it was appropriate for me to sit with them anymore. I was really frustrated. I called Gretchen Whitmer. I called JB Pritzker. I made public calls to the candidates whose names are better known than me to jump in. The water's warm, you guys. It's a democratic primary. That's what we do. Not only did those two not take my calls, which they would have any other day. They had their political operatives take those calls, and they told me, please, don't use their names. That's the culture, that's the culture, you guys, that we're dealing with. You will be blackballed. You will be disenfranchised. You will be let out the door if you so much as even issue a word that you might challenge a sitting president of the United States. This is the United States of America. It's appalling. Anyhow, I'm frustrated. We saw that happen with R.K. Jr. because he declared initially as a Democrat, and Biden wouldn't give him secret service protection despite the enormous personal safety risks and threats he's actually had. Which is the same thing for me, by the way, guys. You can imagine. Yeah. And the biggest line item in my budget right now, by the way, is security. The biggest line item, the second biggest line item that's going to suppress that is getting onto the ballot. Right. Well, that was the thing, is they wouldn't let R.K. on the ballot. Exactly. They wouldn't debate him. They just wanted to pretend like he didn't exist, and they basically drove him out of the party. So now he's running as an independent."
Do you think you're going to be able to get on the ballot as a Democrat in these primaries?,"Absolutely. And we're making those choices right now, David, because first of all, it's obscene. I want to let you all know that in a country that prides itself on being a democracy, a Democratic Republic, I can't even tell you how many states literally create high barriers to entry to satisfy the two parties to ensure that their coronated candidate has an advantage over anybody else. I'm talking about..."
What are the most egregious ones?,Give us an example of what you have to do. The most egregious are oftentimes the deepest blue. New York is close to impossible. When I say impossible...
How so?,"Explain it to us, like what you have to do. So the reason I started in New Hampshire is it has a 103-year-old tradition of being the first in the nation primary. They take this really seriously. They're the most engaged Americans in the country. They have a process. We walk through the snow, we answer their questions. And you also... All you need is a $1,000 check. You got to be 35 years old. You got to be born in the United States of America. And you too can become a candidate for president of the United States. That's what I did. They have the most beautiful ritual in the state house in Concord, New Hampshire that is worth going to one time just to see the majesty of filing for president of the United States. 21 of us on the Democratic side of the ballot because that's how it should be. Take a state like Virginia... Wait, wait, hold on. There's 21 people running for the Democratic... That's incredible. I have no idea. Yeah, Chomach. 21, Marianne, Williamson, and I are the best known of those 21 because the president of the United States chose not to. So that's how you have it. You asked about other states though. New York. Virginia."
"So, it's $450,000 to $500,000 to pay consulting firms, to pay people $25, $26 per signature to just sit outside and just say, hey, can we get your signature to get this guy in a ballot?","No, it's not grassroots. It's not old school, caucusing democracy. It is pay to play. It's pay to play. And we would need it. We would need... Well, we're going to have to raise. Probably six... Yeah, maybe... I'm sorry, maybe less than that. Maybe $5 million. We have a staff of three people right now and legal counsel just to get my name on a primary ballot. It's absurd. Marianne Williamson, she's not going to be able to. RFK as an independent, by the way, I think he should be. I'm not someone who I'm concerned about some of his positions, but I think he should be able to get on the ballot. You guys, it's absurd. It's obnoxious. And what I've discovered in the last three weeks is going to be my mission after being president to fix because it is going to destroy the country from the inside. And that is why we have the kind of candidates we have year after year after year and Americans say there. And that's why we have Trumpism. I like the fact that... Of course. You know, most people become politicians as a career. I've parked against this for a while. And so they have everything to lose if they stand up against the party and they stand up against the political establishment within which they're meant to operate. And therefore just a few people get to make all the decisions and control all the levers and everyone else is just a marionette. And they stay there forever, Dave. They stay there forever. And there's no term limits, which is what we need. That's why we need them. The fact that you're self-made and you don't have anything to lose, you can leave Congress and you'll be fine. You're a citizen that can go back to work and do what you do. And you're doing this as a service. You're doing this because of your interest in the country. It sounds like... Not to say that other folks don't, but they're largely going to be driven and unfortunately adversely affected by the fact that they have to fall within the way that the game is played in order to operate and will not stand up and save the things that need to be said in order for us to make progress and get out of these situations. But... Those are the perverse incentives. Exactly. I commend you for doing it. I'm glad it's possible. I think, Jason, we should probably talk about the topic. We have two topics that I think we're all passionate here. The first is foreign policy. The second is the budget and are out of control spending. Let's start with Saks. You said you wanted hard questions. Welcome to the pod. Saks, foreign policy. Let's go. Let's bring it. Before we get on, you both said hard questions. Let's go. Please. Meet David Saks. Hey, David. Dean, you said a minute ago that one of the reasons why the world's on fire is because of the Biden administration's handling of foreign policies kind of led us to this point. I think there was a really good example of this. A week ago, there was a new report out by a former UN Assistant Secretary General named Michael von der Schulemberg who worked at the UN for 34 years. He did a detailed study and reconstruction of what happened in March of 2022, so the month after the war. What he concluded is there was a bona fide deal on the table between Russia and Ukraine where Putin was willing to pull back and leave the territorial integrity of Ukraine intact if Ukraine would agree not to become part of NATO. This is something that's been discussed. There have been many reports of this over the last several months. Ukrainian proff to have a story about that. Now, there's yet another confirmation that such a deal was available. Yet, Boris Johnson and Joe Biden said, no, we want to pressure Putin not work out a peace deal with him. Thanks to Western intervention, that deal never happened. Now, we're 20 months later and Ukrainian counteroffensive has failed. It's been a fiasco. The casualties have been absolutely massive. Horrifying. Horrifying. You saw there was this article on Time Magazine, this new profile of Zelensky where his own aides and advisors say that he's delusional. He can't accept that they're losing the war. They furthermore say that even if the US provides more weapons, more aid, they don't have enough men, they don't have enough soldiers to use them. Things are going that badly. I think there's now a fear that Ukraine could collapse in the next year, even if we provide more aid. I guess, I know that early on in the war, you supported Biden's policy."
"If you were president, what would you try and do differently now to try and end this thing?","Well, first of all, I think we have to back up to 2014 to talk about this, David. First of all, I've seen that reporting. I do not have confirmation of the validity of that. If I did, I could talk about it more directly."
"If that's the truth, I would first ask, did that include Crimea?","Secondly, it's not a United States decision about whether or not Ukraine should agree to a peace deal. It is Ukraine's decision, plain and simple. I do want to turn back the clock a little bit because I think this all kind of plays together. By the way, it didn't include Crimea. But Zelensky was willing to go for that deal. And it was the West who intervened and said, no, we want you to pressure Putin and fight. And David, like I said, I never speak to him unless I can verify that myself. And I've not seen that intelligence in the skiff. I've not seen that presented to me. And by the way, there are some times where I don't know. Most times none of us know everything. If that is the case, I would absolutely answer this question differently. But based on what I do know, I want to turn back the clock to 2014. This is where foreign policy matters. President Obama was a great orator, I think, an inspirational leader. He came to the US presidency with only organizing state legislative and a couple or few years of Senate experience as a very young man. And Joe Biden was his vice president. And when Vladimir Putin took Crimea easily, that set the tone for what's going on right now. And we have not done a very good job of prevention. That's true in health care. That is true in poverty. That is true in our foreign policy, which is, by the way, maybe what happens when you spend 83 billion a year on diplomacy and 850 billion a year on bombs and missiles. Not to mention, go back to Eisenhower and the military industrial complex. David, you well know this. It does. It controls a lot of our policy because those who are making great profit find ways to influence those who open the piggy banks. I think the Crimea moment in 2014, the writing was on the wall, that was Putin's test. If I take an inch, maybe they'll give me a mile. And what happened during the Biden presidency, of course, he took the mile. I think it has implications now, though, David, and all of you. If we do not do our best to support Ukraine and defending, I think it doesn't just send a message to Putin, a post-Putin Russia, which is going to be a failed nation with a brain drain and something we should talk about, but also sends a message to Iran, North Korea, and even China. I want to talk about that, too, because I think we have a much brighter future with them than most people portray as it relates to Taiwan. And that's the sad truth, is we get ourselves into these situations that then layer up the consequences by withdrawing. And Afghanistan was another example of that."
Who in their right mind?,"Especially... Boris Johnson. Well, by the way, that's where you get when you get people like, well, I'm going to make this case, as you guys know, for comprehensive new generation of leaders all around the world in our country and in others that are sick of this nonsense, sick of the bloodshed, sick of enriching enterprise at the expense of human beings. It happens here, it happens in Ukraine and Russia, and it's happening in the Middle East, plain and simple."
"Saks, anything else on foreign policy you want to go to?","Hacking off now would be, I think, a shameful, horrible mistake. The one thing I would argue right now, David, is those who are most likely going to be subject to Putin's terror, the countries in Europe, should be carrying a much bigger, bigger part of this load. We have 750 bases and installations around the world in 80 countries. We are the most dominant presence in world history of any government, and we spend more on our military than the next, I think, 11 nations combined for God's sakes. If anyone thinks that a kinetic risk to the United States is the most likely harm that will be done us, not cyber or not social or not biological, I think you're out of your mind. Those are the risks that I think are most threatening, that I think this president does not quite understand, and we have to recomprise and recommit to diplomacy and defending ourselves against the most important literal risks, including nuclear weapons that can be carried in a backpack and detonated in New York or Tel Aviv or anywhere in the world. And if we don't start changing how we do things, we're not going to be ready, and we are just sitting still in dysfunction. I'm going to change it. Let's talk about China for one second, and I'll give it to you in two arcs. Arc number one, the comments that President Xi made yesterday, which were very, if you just heard them or read them, were very specific. We have zero desire to seek Chinese hegemony. We have zero desire to find a cold or hot war, but then there is what wasn't said, which is part of what you said, which is, well, okay, maybe there's no kinetic risk. But the cyber risk is still there. And actually the psychological war risk is there. So two questions."
"And then the second is, how do you react to what's happening with this TikTok, Osama bin Laden, Cyop thing that just seems to be, frankly, just getting out of control here?","I agree. Well, let me say I was so pleased to see President Xi's remarks. I think President Biden responded by saying we should trust but verify. I think that's appropriate. I was troubled though, when a question was shouted out to President Biden on his way out about whether he considered President Xi a dictator and he said, yes, he's a dictator. And I think that may have undermined this entire rapprochement, which I think is terribly important. You know, words matter. The playbook matters. And the negligence or ignorance of another culture as it digests our words, our actions, our intentions is very consequential. And unfortunately, we see this pattern with the president of doing what he did today in using that term. Whether or not it's really true or not, there are ways, as we all know, to simply not comment, because that is going to undermine, I think, a very important, otherwise very promising outcome. And, you know, to your question, I'm concerned that we have made China, perhaps into the very enemy that is stensibly now our military industrial complex wants to defend us from, which happens time and time and time again through our history. And it concerns me deeply. We should be partnering with China. Our disagreements are real. I think they should be litigated and bridged with diplomacy, not destruction. And imagine what can be accomplished in this 21st century world if two nations like ours recognize the potential of spending less on destruction and more on human beings. You know, it astounds me."
Do you think TikTok itself is a threat to the United States?,"I wish you, if you were president, ban it or force them to divest and remove the servers in China and the algorithm from China, et cetera. I'll make this really simple."
Do you think it's actually being used for PSYOPs?,"I'll make this really simple. You know, if we want to change our constitution and change what we consider speech, change how the federal government or any domestic government affects people's rights to what they watch, what they read, what they eat, how they pray, how they think, where they go, with whom they congregate, you know what, that's up to Americans. But I think to target one app is a huge mistake. And my, I have a very simple solution. Hold every single platform to the same standard, transparency, their algorithm, have an independent commission perhaps that is charged and responsible with assessing and holding those platforms to account. And if any of them violate the terms that we pass into law, then they should be banned. But to target one, I think it's not accessible. Well, we do have foreign ownership rules for media outlets, yeah. So it is as many more users and is much more powerful with the algorithm."
So then how would you respond to that sort of counter argument?,"I'm just going to say this. If we want to change our constitution, this is what the Supreme Court, I'm afraid, is going to say if we start doing this, then change the constitution. That's what they said, by the way, about women's reproductive rights, you know, in the absence of Congress doing anything, in the absence of that, we're going to assess it the way it reads right now. I don't think that's necessarily really possible without a significant Supreme Court challenge."
"My belief is yes, is it a threat?","Yes, it's a threat. By the way, every social media platform is a threat when used by malign actors."
"Do you think we should enforce reciprocity if we allow TikTok, they allow Twitter, Facebook, Instagram, China or...?","I think that's the kind of thinking Jason and I like. In fact, reciprocity as it relates to IP enforcement of IP, of theft, of trade, you just hit the nail on the head, reciprocity. Let's be reciprocal in the nature of a relationship."
"If you're going to ban our apps and our platforms or our products or our brands, well, why...?","This is to me an opportunity for the next generation to say this is nonsensical. You know, if you're going to succeed, by the way, China, you all know, has sign... They have a bubble they're facing that will make ours in 2008 look like a gumball by comparison. And that is coming down the pipe. I think that has a lot to do with this kind of step towards rapprochement. But yes, reciprocity and to know that Facebook is not allowed. Yeah, perfect example. But in the United States, that doesn't change my contention that we should set the same standard for every platform, every media entity, whatever it might be, hold them accountable. And if they don't qualify or perform, then they're banned. Give us your just maybe societal then commentary on the number of people on TikTok right now. No, it's sickening. Advocating for... I don't even know what you want to call it. I guess reading and sympathizing... Yeah, with Osama Bin Laden's... It's just... Justification. Well, first off, I'm sure you guys do too. I look at TikTok. I consume as much media as many platforms as possible. So I understand why some of the nonsensical perspectives are being shared with me by so many people right now. So I get it. You're fun... But back to the fundamental question. What do we do... This has been, by the way, an age-old issue since our very founding. It used to be anonymous pamphlets that would spread misinformation or condemnation and fire people up. Now it's just instantly available. It doesn't matter if you have a printer, you can push a button."
"And yes, am I concerned?","Of course I am. The fact that when I'm spending time on college campuses right now and listening to otherwise really well-educated privileged kids saying things that are so nonsensible, so ignorant, and so shocking, I know where it's coming from. So I understand the problem just like all of you."
I think this question is what do you do about it?,And all I'm saying is we should have the same standard for every platform because the same issue is on every platform. That is my only contention. What do you think about...
