Question,Answer
"I mean, would you be willing to take NATO expansion off the table if it helps resolve this conflict?","Yeah, everybody will. Because Biden won't."
"Well, Biden won't, right?","Yeah, no, no, it's absolutely."
Why are we trying to expand?,We gave our word and we would not expand NATO one inch to the east. And now we've gone to 13 countries. It is a provocation. Let's talk about Taiwan. So we got to stay out of wars.
"If Xi Jinping decides Taiwan is strategic and he invades Taiwan, what would your response be if you were elected president?","Well, my response would be to de-escalate that conflict. There's essentially a war party in Washington that is encouraging that conflict, that is drumming of that conflict. What I would do is I would de-escalate it. I would stop looking at it as a threat now and allow the Chinese and the Taiwanese to come to their own solution about what kind of relationship they have. And I think that if we stop our provocations toward the Chinese, that that would naturally de-escalate."
"And if China decided it's strategic and we're going in anyway, would you, if you were president, defend Taiwan?",That's a question that I would not answer.
Why don't presidential candidates just answer that question?,"Because you're committing the country to a war in the future. That would be probably the bloodiest war ever fought. And it's not something that strategically, it's not good strategy to project your intentions. You want to leave room for negotiation. You want to leave room for all kinds of movements and you want to have a debate with the American people and with Congress."
"But Biden's been clear that he would defend it, right?",So that's an interesting insight right there.
"Freeberg, do you want to talk maybe a little bit about the economy and the spending that we're seeing?","Yeah, so Robert, I think my biggest question, I've referenced this on the show a number of times, is this extraordinary concern I have about the fiscal deficit and the debt level of the US. Running deficits north of a trillion dollars a year, 33 trillion in total debt. Some people use the debt to GDP metric, which at this point is approaching or has exceeded 130%. And 52 nations that have reached that level of debt to GDP, only one of them has not had to restructure their currency or restructure their debt payments. Obviously with the debt ceiling approaching and some fiscal conservatives using this moment as a point to try and generate leverage. I guess my biggest question for the country now and going forward is, do we actually have the ability to pursue all of these interests on a social, a geopolitical, a security agenda and do so without having either a balanced budget or a plan that says, here are the boundaries and here are the boundary conditions. Because in the last couple of years and particularly in the last five years, we've seen almost like a bipartisan, unmitigated spending spree that is largely driven to do what the electorate wants, which is to give people stuff. And giving people stuff costs money and that money has to be paid back at some point."
And how do you think about the boundary conditions that you would look to articulate and impose as you think about this role with respect to the deficit spending and the debt levels for this country?,"In terms of a boundary, I would love to hear arguments about that, but as you say, I think the debt is now 32 trillion, the GDP, our GDP is around 25 trillion. So that's just a really alarming ratio. If you look at why, the primary cause are our military expenditures. We're spending eight this year, I think, $8.4 trillion on the military budget this year. But if you throw in the Homeland Security and all the surveillance and security expenditures at home, it's 1.1 trillion a year. That's 1.1 trillion a year that is attributable to essentially to our warmongering. And I don't think we can afford to be policemen of the world anymore. We have 800 bases around the world. We need to start rebuilding our middle class at home. We need to be responsible with our debt. And we need, my grandfather always said, we should make America too expensive to conquer. We should make fortress America. We should arm America to the teeth at home so that no, so we're too expensive to conquer. And then we should concentrate on building up our economic power and a robust middle class. That's what's gonna make America strong. And instead of projecting military strength abroad, we ought to be projecting our economic strength and a marketplace of ideas and economic power. Right now we're borrowing $6 billion a day, mainly from the Chinese and Japanese just to serve the interests on that debt. That's not a healthy thing for America to be. And we gotta figure out a way to impose fiscal discipline. But I can't tell you exactly what my boundaries would be. That's something I need to think about."
But how do you think about that?,"Like I think of discretionary spending, you know, defense is about 800 billion, non-defense is about 900 billion. And then obviously there's social security benefits, Medicare and Medicaid. In order to get the budget balanced, you think cutting defense would be kind of the first priority and you could kind of get there through that approach."
"Are we ultimately gonna have to kind of change retirement benefits, restructure Medicare, Medicaid, or are we gonna raise taxes, or are we gonna do all three to get to this point?","Otherwise we have this obviously kind of never ending debt spiral that's gonna cause a massive crisis. Whether it's not this year, maybe it's in five years or 10 years. Right now it's projected social security will go bankrupt in 2035, 2034 around that range. So this is coming up fast."
And are we gonna be raising taxes to 70% do you think?,"To kind of bridge this whole. I can't answer that question any better than I already have. You know, I think there are targets for opportunity in the homeless security. I think once we stop fighting these wars all over the world, there's a lot less need for us to have a surveillance state at home. So the real cost in the military is 1.1 trillion a year. I'm not just the 800 trillion that shows up on the books. And I think those are targets for opportunity. And I can't, you know, I have to, I need to study more the issue about how to get back into a balanced budget. You know, one of the things I'd say disturbs me is that I don't think we should be playing chicken in Congress about raising the debt ceiling. Because I don't think we should mess around with the full phase in credit of the United States, particularly at this point in time. One of the things that's happened in the world, Bobby said there's been a couple of countries, France is probably the best example that had to raise the retirement age. And irrespective of the view that one has on whether that was right or wrong, the practical reality of doing it is just that when these initial social safety nets were passed, the average life expectancy of folks was 10, 15 years less than what they are today. And presumably as we keep inventing technologies, folks are gonna live to 80, 90, 100 years on average, which may seem implausible, but is likely if you look at the trend."
And what has to be totally reimagined for what the world will look like in 30 or 40 years?,"I would say it's a red line for me to touch social security or Medicaid or Medicare, I think we need to take care of people, particularly people who have spent their whole life paying into a system with a promise at the end and have worked hard and saved and done what they were supposed to do. I don't think it's right to pull the rug out from under them. Again, this is an issue that I need to spend more time looking at and studying. Maybe the next time I come back here, I'll have a better answer for you guys. I think this is my concern is, sorry, but Robert, the comment you just made is the same comment I hear from both sides of the aisle that we can't touch social security, Medicare, Medicaid, because it would be so unpopular, we wouldn't get elected. And that's ultimately kind of what a democracy like ours may lead to is that folks vote and elect representatives that are gonna create these systems that benefit them, but in aggregate, we may not be able to support those benefits over time and at scale. And we may be facing that moment sooner than any of us want to. And I think it's one of the more pressing issues and concerns, not just for the United States, but for the global economy, that if the US doesn't resolve this massive whole talking about social security, for example, going bankrupt in the next 12 years as one acute example of that problem set, we may not be able to turn it around."
Because so much of politics ends up leading towards what additional benefits can I provide to the folks that get me elected?,"Here's the thing, we spent $8 trillion in the war in Iraq, $8 trillion and we got nothing for it. Yeah, that's pretty nuts. That's nuts. In fact, we got worse than nothing. We killed more Iraqis than Saddam Hussein. We killed a million Iraqis, probably. We created ISIS, we turned Iraq into a proxy for Iran, which is exactly what we've been not trying to do for 40 years. And we drove two million refugees with the Iraq war and its aftermath Syria and Yemen and Pakistan and Afghanistan two million refugees in Europe, destabilized democracy in Europe. Then we go ahead, so $8 trillion there, we spent $16 trillion on the pandemic, on the lockdown and again, got nothing in return. So that's $24 trillion and now we're doing bank bailouts every couple of months. Silicon Valley Bank, the Fed said that it was printing $300 billion for that. Made up for all of the deflationary steps that the Biden administration had previously taken. You go to an American who's been working their whole life and has been promised at the end of the life that they're gonna get a few bucks every month. And I have a friend who I brought to my speech with me who's during the same month that we committed another 750 million during March, we sent $750 million extra to the Ukraine. We got 15 million Americans from Medicare. My friend got a call from the government on his cell phone, a recorded call saying that your food stamps have just been cut by 90%. He went from $283 a month to $25 a month. So you try to feed yourself on $25 a month. There are 30 million Americans who are starving right now. And that to me is unacceptable. And it's hard to go to people like that, people who have been honest, who have played by the rules, who have done everything that they were supposed to do with the promise that they would be taken care of, that their healthcare would be taken care of an old age. You go to those people and say, okay, now we're gonna cut your food stamps and try to feed yourself on $25 a month. Try to feed yourself for $25 a week. We're telling them that. And then... And then spending 800 billion to make a plane."
How are you gonna cut the federal budget when you're sending over 100 billion to Ukraine?,"You have no more authority to do it. I wanna finish that by saying, you're like tinkering in the engine room when the ship is sinking. Because, you know, we're switching deck-takers on the Titanic. Let's deal with the real problem. Let's figure out how to make this nation, a nation that is really focused on taking care of our people inside rather than saying, okay, well, in order to pay for the Ukraine war, we gotta screw every American on social security and Medicare. We've had, by the way, the inflation that we've created from, you know, from just printing money is making my friend Keith's food twice expensive. So the cost of stables in this country was raised by 76% in two years. And now they're cutting his food stamps and bailing out the same month, $300 million, this Silicon Valley bank. We gotta, I mean, it doesn't make any sense. And having this kind of conversation, how do we screw the poor to make sure that we can, you know, we can milk them while we're doing all of this crazy, this country is acting like the alcoholic who is behind on his mortgage and who takes the milk money and goes into the bar and buys rounds for strangers. You know, that's what you're dealing with. That's a pretty good analogy. Shots, everybody. So let me ask the follow-up question on this debt ceiling fight, which is a game of chicken. And the country's economy might go off a cliff in the next month because Republicans and Democrats can't agree. So Biden's position is I want a clean debt ceiling increase, no terms on it. House Republicans have passed a debt ceiling increase, but it contains things like a 1% cap on spending growth. It claws back unspent COVID-19 relief funds and it would halt Biden's student debt forgiveness plan."
Would you be willing to negotiate?,"Because Biden is basically saying, I will not negotiate at all. So negotiate or not negotiate. I guess that's my question to you. Yeah, you have to negotiate. I'm not sure if he's posturing or what. They have to negotiate. They have to work out something that's good for our country. And you're gonna both sides are gonna have to give up something. We have to put our country first. And it's insane to play this game of chicken with the stakes or so. There's been a lot of talk, Robert, about the deep state, the FBI, DOJ, CIA, your family, obviously having dealt with two tragic assassinations, your father and your uncle, has dealt with this firsthand in terms of just having the CIA information about these assassinations released."
"And then also personally, what are your personal feelings on it?","Well, on the, you know, I have a pretty clear idea about how I would handle the intelligence agencies. And in fact, my father was thinking very deeply about that at the time. My father who believed his, you know, first reaction when his brother was killed was that the CIA had killed him. And in fact, the first three calls he made on that day. And, you know, I was home at the time. And John McComb, the CIA was right across the street from my house. And so John McComb was the CIA director. You would come to our house and swim every day after work during the spring and summertime."
"And my father called the CIA desk and talked to a desk officer and said, did your people do this?","That was his first call. And he called Harry Ruiz, who was a Cuban, who was one of the Cubans who had remained friendly with my family. You know, while we were surrounded by Cubans growing up because of who were big refugees, my father had got them freed after a year. And, you know, in the Castro's prisons. And my father and mother spent a lot of time finding houses for them, schools, integrating them to the U.S. military, finding jobs. And so we were all raised very, very closely with the Cuban community. But gradually they turned away from my family. But this one Cuban who had been an engineer had fought with Castro and then turned against him when he became communist. And he was very close friends with my father. The second call that he made was to Harry Ruiz."
"And he said, did our people, meaning the CIA people do this?","And that was, and so my father was thinking very, very, very carefully about how to handle the CIA. He had been, you know, he had been essentially managing the CIA since he came into office. And he recognized that the problem, and you know, as I talked about in my speech, and I think David on this show mentioned this, that during the day of Biggs invasion, my uncle realized that he had been lied to by Charles Cabell and Alan Dulles and Richard Bissell, the heads of the CIA, as well as his joint chiefs. And he came out in the middle of the invasion when it turned against them. And he realized these men were being killed on the beach. And he said, I want to take the CIA and shattered into a thousand pieces and scatter it to the wind. So he recognized that the function of the intelligence agencies had devolved and that they were, they had become captive of the military industrial complex and the military contractors and their function was essentially to provide our nation with a constant pipeline of new wars to feed the military industrial complex and the growth of the surveillance state. And my father, when he ran for president, Pete Hamill, who was one of his favorite newsmen, asked him on the bus during two weeks before he died, asked him what he was gonna do about the CIA. And he said, what we need to do is to, we need to remove the espionage division, the espionage branch from the plans division. The plans division, the CIA is essentially the dirty tricks provision. That's the division, the action-proof division. They do the assassinations, they fix elections, they do paramilitary operations, black ops, torture, black sites, all of that stuff. The espionage division and CIA was originally set up by Cuba by Truman as an espionage agency. Espionage means information gathering and analysis. It's not violence, it's about information acquisition. And unfortunately, the clandestine action division was wagging the espionage dog. So the function, the espionage division was to provide new actions, things to do for the clandestine division, and then covering up their mistakes. So there was never any accountability. And what my father understood is that the espionage division should not be working for the clandestine services, they should be overseeing them, and particularly doing accountability. Oh, you know, what, if the CIA looks, the way that the CIA looks at the war in Iraq is it was a success because we accomplished our mission of deposing Saddam Hussein. But, and you know, the CIA was George Tenet who lied to President Bush and said it's a slam dunk. So they got us to go in there and weapons of mass destruction."
What would have you come to personally?,"The CIA, yes, they were definitely involved in the murder. And the, you know, and the six year cover up, they're still not releasing the, you know, the papers that legally they have to release. But I don't think there's any doubt if you look at this huge, you know, mountain, monumental mountain of evidence and confessions and, you know, so many people have confessed to their involvement. And, you know, we understand the, if you look, I mean, for anybody who has doubts about that, I would recommend a book by Jim Douglas called The Unspeakable because I think he's done a better job than anybody else at kind of assembling and distilling all of the millions and millions of documents that have been released over the past 50 years. And these things, these revelations are released incrementally and so nobody really takes notice of them. But when you put them all together, the story is very clear. So you would definitely rethink the CIA, the FBI, DOJ, you know, the whole intelligence operation. I think what you're saying as well as maybe you would also release the documents that maybe would at least provide some more transparency. I just wanted to build on that because you had a very provocative tweet, part of what you're talking about is accountability and we need data and transparency to have that. There are people that have whistleblown. There are people that have leaked and I think it's fair to say that they've all been treated by the security apparatus in largely the exact same way. But you tweeted recently about your desire to see some of those folks forgiven and pardoned."
Do you want to just take a few minutes just to talk about some of those folks that you think has allowed us to actually see the truth if we want to see it and why you think that and what you think should be done with folks like that?,"I mean, Julian Assange is an example. Julian Assange is a newspaper publisher. He published leaked documents. You know, why are we, I mean, if I was any newspaper publisher in this country, I would be worried about that. Then now he can go to jail for life because he published leaked documents of great import to the American people of things that should not have been secret that we should have known about. Revelations that affect our civil rights affect our foreign policy affect things that we have a right to know about. And, you know, it's really, it's strange that there's any support for his imprisonment among the press. And I think the press is beginning to figure this out finally. The most controversial of those figures is Edwin Snowden. But Edwin Snowden released documents that showed us that we were all being spied upon. And that's important for Americans to know. And in fact, it was so important that Congress passed laws based upon his revelations to protect the American people."
"So why are we punishing the whistleblower rather than punishing the people who were, you know, who were illegally spying on us?",That's what we should be doing. We shouldn't be jailing dissenters in our country. We shouldn't be jailing whistleblowers. We should be jailing the people who break the law.
Do you believe there's a deep state conspiracy against Trump?,"Because you might be facing him. I don't use the word deep state. I mean, I, you know, I've described how these bureaucracies function. And it's not, it's not so much a group of people that kind of deep split state implies there's a group of people and it's kind of, you know, black coats and a smoky room pulling strings, but the corruption is systemic. The, these, you know, all of these agencies are captive agencies. The CIA is ultimately working for a, for industry like the oil industry, the coal industry and the military contractors. And they've always had that ties since the very beginning, you know, Allen dollars, who had worked for Sullivan Cromwell and ended up doing coup d'etats on behalf of his former clients like Texaco and United Fruit, Texaco and BP. And in Iran in 1953, his former client, United Fruit, when Jacob Harbens and Guatemala tried to nationalize United Fruit, you know, the CIA under dollars went over through the government to protect the interests of his former clients. So there's always been these ties to industry and the ties now and particularly the oil industry and the ties to, to the military industrial contractors really drive CIA action and CIA intelligence. And we have to, you know, you have to stop. And this is systemic in all these agencies. I mean, USDA is run by Cargill, Smithfield, Monsanto, Bo Pilgrim, John Tyson, EPA is run, when we sued EPA, we got discovery documents that showed that the head of the pesticide division, Jess Rowand, had been secretly working for Monsanto for a decade. And, you know, sending memos back and forth with Monsanto directing them, you need to kill this study, you need to kill that study. And this unfortunately is not the exception. It is the rule. Most of the people who work for those agencies are good citizens, they're good Americans, they're honest and they're patriots. But the people who tend to rise in those agencies and occupy these very, very powerful key positions from decades or years like Anthony Fauci, 50 years are people who are in the tank with industry. And what we need to do is unravel that across the government. And that's really what people say, that's the deep state. That really is what it's a systemic corruption within our agencies that is, that's driven by agency capture."
"Can we actually just talk about the coronavirus, maybe pandemic for a second?","And I just want to tie in two concepts. Sometimes again, there's a lot of mainstream misinformation about it. There is a lot that came out about you, particularly as it relates to vaccines. I just want to give you an opportunity to set the record straight. Just on what you think happened COVID, all that corruption, your thought on vaccines, the efficacy of our programs, how we should change what we keep the same, just maybe a chance to clear the air so that we can get some of the gobbledygook on the internet set straight. I mean, it's hard to, you know, I wrote a 250,000 paid book about it and I've written a couple of books and so it's hard to summarize, you know, what went wrong in a second. But essentially we had, instead of a public health response to a public health crisis, we had a militarized and monetized response that was the inverse of what, of everything that you would want to do if you actually wanted to protect public health. We've known, you know, if you look at WHO protocols or CDC protocols, the EU, the NHS in Britain, all of those, they all had protocols for how to manage the pandemic. They all said unanimously, you do not use lockdowns, mass lockdowns, you quarantine the sick, you protect the vulnerable, but you keep society moving because the consequences of not do, of shutting down society will be cataclysmic beyond anything that the disease is going to impose. Everybody knew that. And so, you know, we had these, these agencies that had drilled for years and years, this alternative, you know, militarized response. And instead of, you know, doing what you want to do, which is to get early treatment to people to have, I mean, you know, we live in the age of the internet, we should have had a grid that connected all 15 million frontline doctors, every country around the world, and figured out what are you doing that works in your country, you know, and trying and then distilling that information and processing and getting it to other doctors. Well, we knew what was working. We knew I've remefted and hydroxychloricone were working. We knew that since 2004, because NIH did this study that said hydroxychloricone obliterates coronavirus."
We knew what would work at that time and what was the response?,"They, the response was they could not allow early treatment to occur."
Why?,"Because there's a little known federal law that says if there is a drug that is shown effective against the target disease, it is ill, a drug that is approved for any purpose. It is illegal to issue an emergency use authorization for a vaccine. So if they had admitted that hydroxychloricone or ivermectin worked against coronavirus, it would have destroyed their whole hundred billion dollar vaccine, you know, enterprise. So they had to kill early treatments. And they went after stuff that they knew worked. They this was the first respiratory virus in history where people would go to the hospital and they would test positive for coronavirus and be symptomatic. They were sick. And that's why they went to the hospital. And the hospital would say to them, there is no treatment. Go home till your lips turn blue and you can't breathe and come back and we will give you two things that are going to kill you. Remdesivir and hydroxychloricone and ventilation. So people still look at in this country and anti-foul G is a hero. And we were doing things a couple of miles from me in Malibu. There were police pulling surfers out of the surf and giving them thousand dollar tickets and telling them to go home and out of the sunshine where where coronavirus doesn't spread and lock him in their home where it does. And every time they sent some one of these people home from the hospital sick, it was a super spreader of them. Oh, you look at our record of coronavirus and this is when nobody can explain who is, you know, defending Fauci, etc. We had the highest body count in the world by far from coronavirus. The R we have 4.2% of the world's population. We had 16% of the COVID deaths."
How does anybody explain that?,"And you go to nations that didn't do what we told them. Nigeria. Nigeria is the highest malaria burden in the world. So it everybody, everybody gets hydroxychloricone once a week. They call it Sunday, Sunday. Everybody in the country takes it on Sunday. They had the highest river blinds burden. So half the country's on Ivermectin. Nigeria never had an epidemic. It had a death rate in Nigeria of 14 people per million population. Our death rate, 3000 per million population. Blacks in our countries were dying at 3.6 times the rate of whites."
Why were American blacks dying at Nigerian blacks weren't?,"And and then you go to Haiti. Haiti had a and by the way, Nigeria had a 1.3% vaccination rate. Haiti had a 1.4% vaccination rate. And they had a death rate of 15 people per million population. These are the countries that Tony Fauci and Bill Gates said, we got to get them vaccinated. We got to do whatever you can because they're going to get totally wiped out because of their poverty."
And guess what?,They never had a pandemic across Africa. There was a 10% vaccination rate.
And guess what?,They had a death rate of about 340. Some people think that the death rate here was overstated because of incentives to do that.
Do you believe that as well?,"Yes. So maybe part of that death rate is it was over incentive. But you believe looking back on this, that Fauci, as well as the pharma companies, Bill Gates, investments in those areas, that led us down a path, we'll call it the medical industrial, the pharma industrial complex. You believe the pharma industrial complex dictated our response to coronavirus and then Freiburg will let you jump in. Yeah."
But you believe that?,"That that's the... I don't have any question about that. I believe this was, you know, as I said, it was a military response. I mean, look at who was running, the look at who was running, the coronavirus response."
